,beginTime,dataId,gemo,imageCloudage,imageProductType,imageResolution,imageRowCol,imageSatelliteType,imageSensorType,imageSpectrumType,isDel,name,range,thumbnailPath
3699,2017-09-02 10:04:46,00019299c0fe7d7242be8bc4ee4d2935c326,,0.5,0102,{3.00},,PL,,{DGP},0,20170902_020446_1008_planet_ortho_29.02N_117.76E,"{""type"":""MultiPolygon"",""coordinates"":[[[[117.64126,29.076904],[117.623436,29.001797],[117.887314,28.95384],[117.90481,29.028887],[117.64126,29.076904]]]]}",/data/PL/20170902/20170902_020446_1008_planet_ortho_29.02N_117.76E/20170902_020446_1008_planet_ortho_29.02N_117.76E
3700,2017-09-02 10:04:47,0001fd9e5c0fb68f4f87bedc404e09f24f0e,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020447_0e14_planet_ortho_51.89N_123.81E,"{""type"":""MultiPolygon"",""coordinates"":[[[[123.64233,51.95978],[123.61259,51.8857],[123.980545,51.8288],[124.0103,51.902527],[123.64233,51.95978]]]]}",/data/PL/20170902/20170902_020447_0e14_planet_ortho_51.89N_123.81E/20170902_020447_0e14_planet_ortho_51.89N_123.81E
3701,2017-09-02 10:04:47,0001d4a752b96861414683771e44db4ce0aa,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020447_100c_planet_ortho_50.07N_122.73E,"{""type"":""MultiPolygon"",""coordinates"":[[[[122.56297,50.134907],[122.53387,50.060726],[122.89269,50.002586],[122.92192,50.0769],[122.56297,50.134907]]]]}",/data/PL/20170902/20170902_020447_100c_planet_ortho_50.07N_122.73E/20170902_020447_100c_planet_ortho_50.07N_122.73E
3702,2017-09-02 10:04:47,0001708fc29dc38a41b2b1f8b4cd716a3adb,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020447_1008_planet_ortho_28.95N_117.75E,"{""type"":""MultiPolygon"",""coordinates"":[[[[117.62639,29.012125],[117.608604,28.936995],[117.87231,28.889063],[117.88976,28.96408],[117.62639,29.012125]]]]}",/data/PL/20170902/20170902_020447_1008_planet_ortho_28.95N_117.75E/20170902_020447_1008_planet_ortho_28.95N_117.75E
3703,2017-09-02 10:04:48,00010b3b3c74e09a415caba32a000e5341b8,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020448_0e14_planet_ortho_51.83N_123.78E,"{""type"":""MultiPolygon"",""coordinates"":[[[[123.615,51.893364],[123.58486,51.819374],[123.95233,51.76228],[123.982,51.83608],[123.615,51.893364]]]]}",/data/PL/20170902/20170902_020448_0e14_planet_ortho_51.83N_123.78E/20170902_020448_0e14_planet_ortho_51.83N_123.78E
3704,2017-09-02 10:04:48,0001bd0574c003d1418dab4f6fc8b85f199c,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020448_100c_planet_ortho_50N_122.7E,"{""type"":""MultiPolygon"",""coordinates"":[[[[122.536766,50.06909],[122.507706,49.99493],[122.86617,49.936813],[122.89516,50.01114],[122.536766,50.06909]]]]}",/data/PL/20170902/20170902_020448_100c_planet_ortho_50N_122.7E/20170902_020448_100c_planet_ortho_50N_122.7E
3705,2017-09-02 10:04:48,00010670dba0527445f585cf4eece7fc9f55,,0.1,0102,{3.00},,PL,,{DGP},0,20170902_020448_1008_planet_ortho_28.89N_117.73E,"{""type"":""MultiPolygon"",""coordinates"":[[[[117.611595,28.9469],[117.593834,28.871784],[117.85733,28.823877],[117.8748,28.898924],[117.611595,28.9469]]]]}",/data/PL/20170902/20170902_020448_1008_planet_ortho_28.89N_117.73E/20170902_020448_1008_planet_ortho_28.89N_117.73E
3706,2017-09-02 10:04:49,000162a81f76ba53459385699d87fc63565f,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020449_0e14_planet_ortho_51.76N_123.76E,"{""type"":""MultiPolygon"",""coordinates"":[[[[123.587364,51.824867],[123.557274,51.75086],[123.92414,51.693737],[123.953964,51.76744],[123.587364,51.824867]]]]}",/data/PL/20170902/20170902_020449_0e14_planet_ortho_51.76N_123.76E/20170902_020449_0e14_planet_ortho_51.76N_123.76E
3707,2017-09-02 10:04:49,00010cd51c097e4d4ef99dd8ff2f613643dc,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020449_100c_planet_ortho_49.94N_122.68E,"{""type"":""MultiPolygon"",""coordinates"":[[[[122.51068,50.00302],[122.481735,49.928917],[122.83981,49.87078],[122.86863,49.945145],[122.51068,50.00302]]]]}",/data/PL/20170902/20170902_020449_100c_planet_ortho_49.94N_122.68E/20170902_020449_100c_planet_ortho_49.94N_122.68E
3708,2017-09-02 10:04:49,0001170443c6718d46cc88600108bacf2e4f,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020449_1008_planet_ortho_28.82N_117.72E,"{""type"":""MultiPolygon"",""coordinates"":[[[[117.59613,28.881329],[117.57839,28.806192],[117.84169,28.758268],[117.85908,28.8332],[117.59613,28.881329]]]]}",/data/PL/20170902/20170902_020449_1008_planet_ortho_28.82N_117.72E/20170902_020449_1008_planet_ortho_28.82N_117.72E
